StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2022/09/05 15:16:59.468500,60.312454,tcp,91.198.115.205,46381,   ->,137.184.18.211,18080,FSPA_SA,0,0,59,4772,2850,30
2022/09/05 15:17:00.723272,0.176740,tcp,40.115.49.158,57085,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:17:09.824085,15.377632,tcp,91.198.115.4,44391,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:17:14.272499,0.000049,tcp,71.6.233.94,9000,   ->,137.184.18.211,9000,S_RA,0,0,2,110,56,1
2022/09/05 15:17:19.251130,0.169271,tcp,54.149.99.181,58178,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:17:23.798105,0.074028,tcp,185.156.73.107,52462,   ->,137.184.18.211,31876,SR_RA,0,0,3,166,112,2
2022/09/05 15:17:25.155850,15.257779,tcp,91.198.115.5,14978,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:17:26.231232,0.176921,tcp,40.115.49.158,61843,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:17:40.350590,15.346354,tcp,91.198.115.6,55348,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2979,2077,14
2022/09/05 15:17:42.753058,0.000134,tcp,111.7.96.135,14582,   ->,137.184.18.211,6661,S_RA,0,0,2,120,66,1
2022/09/05 15:17:43.677671,0.134849,tcp,91.191.209.14,47966,   ->,137.184.18.211,5841,SR_RA,0,0,3,166,112,2
2022/09/05 15:17:44.564570,0.227007,tcp,54.149.99.181,64603,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:17:47.081528,0.001387,udp,137.184.18.211,48839,  <->,67.207.67.2,53,CON,0,0,2,234,101,1
2022/09/05 15:17:47.081723,0.001301,udp,137.184.18.211,48745,  <->,67.207.67.2,53,CON,0,0,2,234,101,1
