StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
00:00:00.000000,          ,,(null),,,(null),,,
