StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2022/09/05 16:01:28.628137,0.335521,tcp,116.62.223.211,57325,   ->,137.184.18.211,3389,SRPAEC_SRAE,0,0,8,505,331,5
2022/09/05 16:01:30.675774,15.193184,tcp,91.198.115.161,47627,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:01:38.610907,0.177386,tcp,40.115.49.158,49592,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 16:01:43.306678,0.075035,tcp,92.63.197.169,47138,   ->,137.184.18.211,15692,SR_RA,0,0,3,166,112,2
2022/09/05 16:01:43.863021,0.089414,tcp,93.174.93.227,51218,   ->,137.184.18.211,60357,SR_RA,0,0,3,166,112,2
2022/09/05 16:01:45.827852,15.057123,tcp,91.198.115.162,55292,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:01:52.495406,0.184165,tcp,54.149.99.181,55158,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 16:01:57.105700,5.200854,tcp,212.24.168.154,46470,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,754,548,4
2022/09/05 16:02:01.030670,0.181242,tcp,40.115.49.158,54399,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 16:02:10.842519,15.690478,tcp,91.198.115.163,3696,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:02:11.995324,60.329662,tcp,162.218.65.67,7940,   ->,137.184.18.211,18080,FSPA_SA,0,0,57,4597,2741,29
2022/09/05 16:02:16.016404,60.260563,tcp,209.222.252.209,22776,   ->,137.184.18.211,18080,FSPA_SA,0,0,67,5360,3138,34
2022/09/05 16:02:19.713516,0.170849,tcp,54.149.99.181,61582,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 16:02:25.916136,0.167455,tcp,40.115.49.158,59266,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 16:02:26.493744,15.435210,tcp,91.198.115.164,38276,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 16:02:29.178013,0.132746,tcp,91.191.209.210,52994,   ->,137.184.18.211,37460,SR_RA,0,0,3,166,112,2
2022/09/05 16:02:32.195278,5.081680,tcp,74.208.253.57,53638,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,772,566,4
2022/09/05 16:02:37.101391,0.007289,tcp,137.184.18.211,51700,   ->,169.254.169.254,80,FSPA_FSPA,0,0,10,2120,1555,5
2022/09/05 16:02:38.944731,0.000049,tcp,167.94.146.24,14457,   ->,137.184.18.211,57560,S_RA,32,32,2,112,58,1
