StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
15:20:10.109995, e        ,tcp,36.137.214.163,51003,   ->,137.184.18.211,2375,3,166,RST
15:20:16.678353, e        ,tcp,54.149.99.181,54040,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:20:23.673277, e s      ,tcp,91.198.115.15,55098,   ->,137.184.18.211,18080,27,2328,FIN
15:20:24.837762, e        ,tcp,162.243.73.244,38063,   ->,137.184.18.211,ssh,2,128,RST
15:20:31.159814, e        ,tcp,40.115.49.158,50062,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:20:36.760876, M        ,tcp,137.184.18.211,41712,   ->,169.254.169.254,http,10,2100,FIN
15:20:38.837393, e        ,tcp,91.198.115.16,62457,   ->,137.184.18.211,18080,21,1791,FIN
15:20:41.567889, e        ,tcp,54.149.99.181,60471,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:20:51.150547, e        ,tcp,45.143.203.15,44449,   ->,137.184.18.211,4227,3,166,RST
15:20:52.466495, e        ,tcp,79.124.62.78,46825,   ->,137.184.18.211,59042,3,166,RST
15:20:53.661109, e        ,tcp,40.115.49.158,54844,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:20:54.265288, e        ,tcp,91.198.115.17,33733,   ->,137.184.18.211,18080,21,1791,FIN
15:21:00.863636, e s      ,tcp,91.198.115.205,51045,   ->,137.184.18.211,18080,63,5053,FIN
15:21:01.326964, e        ,tcp,177.184.133.130,48267,   ->,137.184.18.211,58992,2,110,RST
15:21:01.950219, eU       ,udp,130.225.39.237,57466,   ->,137.184.18.211,64442,1,56,INT
15:21:01.950277, e        ,icmp,137.184.18.211,0x0303,   ->,130.225.39.237,0xbafb,1,70,URP
15:21:06.701725, e        ,tcp,54.149.99.181,50518,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:21:06.857440, eU       ,udp,130.225.39.237,57466,   ->,137.184.18.211,44133,1,56,INT
15:21:06.857494, e        ,icmp,137.184.18.211,0x0303,   ->,130.225.39.237,0x65ac,1,70,URP
15:21:09.348415, e        ,tcp,91.198.115.18,58637,   ->,137.184.18.211,18080,22,1857,FIN
15:21:15.533231, e        ,tcp,40.115.49.158,59126,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:21:19.102337, e        ,tcp,92.63.197.161,47047,   ->,137.184.18.211,64804,3,166,RST
15:21:21.994189, e        ,tcp,2.57.122.225,42854,   ->,137.184.18.211,45413,2,110,RST
15:21:33.465027, e        ,tcp,54.149.99.181,56925,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:21:33.969314, e        ,icmp,52.83.59.125,0x0008,  <->,137.184.18.211,0x0400,8,424,ECO
15:21:34.462998, e        ,tcp,91.198.115.19,40942,   ->,137.184.18.211,18080,21,1791,FIN
15:21:37.873637, e        ,tcp,79.124.62.82,46823,   ->,137.184.18.211,21206,3,166,RST
15:21:40.398253, e        ,tcp,92.63.197.171,43737,   ->,137.184.18.211,17710,3,166,RST
15:21:40.754772, e        ,tcp,40.115.49.158,63747,   ->,137.184.18.211,ms-wbt-server,7,468,RST
15:21:41.616043, e        ,icmp,161.189.81.123,0x0008,  <->,137.184.18.211,0x0600,2,106,ECO
15:21:49.588308, e s      ,tcp,91.198.115.20,14506,   ->,137.184.18.211,18080,27,2328,FIN
