StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
16:05:09.175378,          ,tcp,91.198.115.174,60166,  <->,137.184.18.211,18080,21,1791,CON
16:05:10.930254,          ,tcp,89.248.163.239,51723,  <->,137.184.18.211,9510,3,166,CON
16:05:17.125921,          ,tcp,209.222.252.209,43824,  <->,137.184.18.211,18080,69,5590,CON
16:05:19.322482,          ,tcp,54.149.99.181,57449,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:05:25.593241,          ,tcp,40.115.49.158,63133,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:05:27.925814,          ,tcp,162.142.125.90,42809,  <->,137.184.18.211,55388,2,112,CON
16:05:32.616335,          ,tcp,116.62.223.211,65319,  <->,137.184.18.211,ms-wbt-server,8,505,CON
16:05:34.130309,          ,tcp,45.83.66.187,13872,  <->,137.184.18.211,1911,2,112,CON
16:05:34.205523,          ,tcp,91.198.115.175,41856,  <->,137.184.18.211,18080,27,2328,CON
16:05:46.063461,          ,tcp,54.149.99.181,63873,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:05:48.326777,          ,tcp,40.115.49.158,51522,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:05:49.296586,          ,tcp,91.198.115.176,32731,  <->,137.184.18.211,18080,33,2784,CON
16:05:54.868628,          ,tcp,99.121.59.157,57044,  <->,137.184.18.211,18080,7,772,CON
16:06:04.426184,          ,tcp,91.198.115.177,50552,  <->,137.184.18.211,18080,30,2461,CON
16:06:07.058855,          ,tcp,184.71.201.30,57076,  <->,137.184.18.211,18080,8,820,CON
16:06:09.733959,          ,tcp,40.115.49.158,56053,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:06:10.553955,          ,tcp,54.149.99.181,53931,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:06:13.221005,          ,tcp,92.255.85.70,33354,  <->,137.184.18.211,ssh,2,128,CON
16:06:17.535943,          ,tcp,209.222.252.209,30759,  <->,137.184.18.211,18080,69,6451,CON
16:06:19.992840,          ,tcp,91.198.115.178,58396,  <->,137.184.18.211,18080,31,2511,CON
16:06:27.645164,          ,tcp,167.71.234.134,50800,  <->,137.184.18.211,15335,2,110,CON
16:06:31.835385,          ,tcp,40.115.49.158,60489,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:06:35.386366,          ,tcp,91.198.115.179,60148,  <->,137.184.18.211,18080,25,2079,CON
16:06:37.123986,          ,tcp,137.184.18.211,46774,  <->,169.254.169.254,http,10,2096,CON
16:06:37.826043,          ,tcp,54.149.99.181,60357,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:06:50.561801,          ,tcp,91.198.115.180,45338,  <->,137.184.18.211,18080,24,1989,CON
16:06:54.384942,          ,tcp,40.115.49.158,65107,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:03.101282,          ,tcp,54.149.99.181,50406,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:09.289210,          ,tcp,62.204.41.222,31912,  <->,137.184.18.211,ssh,6,356,CON
16:07:16.016633,          ,tcp,91.198.115.181,10392,  <->,137.184.18.211,18080,21,1791,CON
16:07:17.936028,          ,tcp,209.222.252.209,3081,  <->,137.184.18.211,18080,86,7000,CON
16:07:18.793088,          ,tcp,40.115.49.158,53038,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:30.247912,          ,tcp,54.149.99.181,56838,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:31.008535,          ,tcp,185.156.74.34,52044,  <->,137.184.18.211,6775,3,166,CON
16:07:31.188493,          ,tcp,91.198.115.182,8734,  <->,137.184.18.211,18080,21,1791,CON
16:07:33.646525,          ,tcp,116.62.223.211,53234,  <->,137.184.18.211,ms-wbt-server,22,1539,CON
16:07:34.618859,          ,tcp,213.61.80.86,2048,  <->,137.184.18.211,18080,7,772,CON
16:07:40.320659,          ,tcp,40.115.49.158,57615,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:46.248717,          ,tcp,91.198.115.183,35894,  <->,137.184.18.211,18080,21,1791,CON
16:07:48.758756,          ,tcp,45.11.57.69,39544,  <->,137.184.18.211,18080,7,754,CON
16:07:55.184848,          ,tcp,54.149.99.181,63262,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:07:58.794022,          ,tcp,72.46.131.18,41186,  <->,137.184.18.211,18080,7,754,CON
16:08:01.039295,          ,tcp,185.156.73.57,40704,  <->,137.184.18.211,60538,3,166,CON
16:08:01.742617,          ,tcp,91.198.115.184,15285,  <->,137.184.18.211,18080,21,1791,CON
16:08:02.125694,          ,tcp,40.115.49.158,62895,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:08:16.779191,          ,tcp,91.198.115.185,39156,  <->,137.184.18.211,18080,21,1791,CON
16:08:18.311183,          ,tcp,209.222.252.209,14943,  <->,137.184.18.211,18080,69,5509,CON
16:08:20.776704,          ,tcp,54.149.99.181,53315,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:08:23.723240,          ,tcp,40.115.49.158,50696,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:08:32.269660,          ,tcp,91.198.115.186,60391,  <->,137.184.18.211,18080,33,2865,CON
